tw_id,text,location,long,lat
972964116485648384,https://t.co/drfyfX7THs Severe reaction to accidentally eating gluten: I have only been glutenized badly once and I? https://t.co/knVA9evwZY,"Santa Rosa, California, USA",,
972963565073178624,"@EdKrassen I am so f**king sick of hearing some in media referring to ? as a ""counterpuncher"" when he attacks certa? https://t.co/qUuuLa6Tca",,,
972963456633597952,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Hamilton, Ontario",,
972963347602669568,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Seattle, WA",,
972962842231021568,"Alright y'all I'm calling it, exporting what I've got and we'll revisit for enhancements. Always get sick at super? https://t.co/XouLkEmFbp","San Francisco, CA",,
972962635338588161,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Pugent Sound, Washington USA",,
972962525204631552,RT @Crisprtek: May you be blessed by the announcer of childhood sick days https://t.co/NaTZixgcq0,,,
972961981379547136,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972961724902133760,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","St  Louis, MO",,
972961583377846273,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Newark, Delaware",,
972961539232759808,"RT @MichaelJGolub: @JoeNBC STOP COVERING HIM! FFS, we are sick of the same goddamn cycle. You will rant about it for 3 days on your show gi?","Huntersville, NC",,
972961397331001344,It's daylight saving and boyfriend is sick and thus snore-y all night and I had things to do today but I am so goddamn tired...,"San Francisco, CA",,
972961025401094145,@mikefreemanNFL By ?everyone? do you mean men? Because watching Tiger play golf makes me sick. I choose to not sepa? https://t.co/3AoX1cR3bU,"Bolinas, CA",,
972960901786607616,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","California, USA",,
972960794215247872,Being at work sick sucks. I feel tired af and I haven?t even done anything.,"Hayward, CA",,
972960578678358016,"@JoeNBC STOP COVERING HIM! FFS, we are sick of the same goddamn cycle. You will rant about it for 3 days on your sh? https://t.co/n6bxzMTnvX","Guerneville, CA",,
972960267507195904,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",Sydney,,
972960079115767808,@BeanBeaan @Kenniexwennie these are so sick!,"sacramento, ca",,
972959749850284032,@realDonaldTrump You lying sack of shit - you know full well that the investigation is nowhere near completed. Wish? https://t.co/E64TFu9qsU,San Francisco,,
972959057664385029,@KTGRMatt Finally a tweet from @KTGRMatt in my feed. I was getting worried you were sick or @TairaMeadow forced you? https://t.co/sotcvhpuCI,"Monterey, CA",,
972958928186191872,I?m sick and not in the mood to put up with peoples shit today,"Waterford, CA",,
972958443865743360,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Los Angeles/NY, NY",,
972958379034333184,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972958155255640064,@FOREIGN_DAEDAE Sick body ?????,"Oakland, CA",,
972958114499780610,May you be blessed by the announcer of childhood sick days https://t.co/NaTZixgcq0,"San Francisco, CA",,
972957941526605824,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972957706255458304,"@HectorBellerin @T_Deeney Here's some medicine for that sick burn, @T_Deeney https://t.co/RC0DE7LwSV","San Francisco, CA",,
972957009271078913,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Peoria, AZ",,
972957007157145600,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972956830115639296,This is really sick:  persons hang American flags outside their homes when they hate veterans.,"Campbell, CA",,
972956734192062464,RT @ricardojkay: me when i call in sick to work and my manager asks for a pic  https://t.co/umqJjjJUAk,,,
972956383728422912,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Albuquerque, NM",,
972956173266595841,"Idk why that makes me so upset that they only take cash. So if you don?t have cash, you take that L and get a ticket... sick.","Sacramento, CA",,
972956054953721857,RT @dariusspite: i love how the drummer of PVRIS plays like he's in the heaviest band on the planet. so fuckin sick,C V L T ,,
972956037950001152,@RealSkipBayless Can this guy goat at least a week without mentioning LeBron's name to be honest I don't think so I? https://t.co/raoSWqQlPc,"Sacramento, CA",,
972955605995417600,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",Southern California,,
972955520179949568,I think my kids are both getting sick ??,"Stockton, CA",,
972955137642676224,"@HannahRayNinja ""&lt;Energy Drink&gt;, for when you're *burned out* on Full Throttle.""
-sick guitar riff-","Sacramento, CA",,
972954983233675269,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972954748771958784,"@MSNBC @amjoyshow  Oh My God whoever said that &amp; you got it this time. Hell No, I'm sick of him, Mute or Change to? https://t.co/3RJxZPWA1D","California, USA",,
972954579158548480,Found this sick spot to sit at the other day https://t.co/hJaWfatkCR,"Santa Cruz, CA",,
972954566906953728,"@FairytaleHealer Lol all I could watch the first month were kids movies, as they didn't require much brain power an? https://t.co/TNIBlTUuXf","San Mateo, CA",,
972954552793272320,"RT @brandon_r_horan: @NBCNews Does anyone else gets sick , i mean physically sick just watching and hearing this orange tumor try to talk ?",,,
972954493653417986,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972954181647532032,Literally have not felt this sick in sooo long .. ??? https://t.co/x2kTCUFdM4,"Turlock, CA",,
972954037128540160,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972953977716277248,I feel sick af,,,
972953855330721792,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",United States,,
972953762846228480,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",Puget Sound area,,
972953462144163845,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",Germany,,
972953356749619200,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",California,,
972952991471824901,"@lijeyeshaveit I'm sorry, being sick day of a show is the worst!!","Napa, CA",,
972952976179445760,I have an autoimmune disease that usually prevents my temperature getting higher than 95 degrees but I'm sick so to? https://t.co/8QyMnVVDQs,"San Francisco, CA",,
972952837889056769,Think I partied so much this weekend it actually made me not sick anymore,,,
972952736483479559,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",NW of LA,,
972952403161960448,@omoseisreal This is sick :),"San Francisco, CA",,
972952384182743040,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Long Beach, CA",,
972952372140957696,me and all my homies got our own places an shit it?s sick,"Modesto, CA",,
972952282626129921,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Minnesota, USA",,
972952066158075905,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz", NYC / LA,,
972951926160723968,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","South Carolina, USA",,
972951777225015297,@mournchkins When she droppin' that sick album??? ?,"Oakland, CA",,
972951762817568768,@ScotchGuyDan @EdKrassen Totally agree. I?m especially sick about this crap because at the very core of our democra? https://t.co/vDiPCzjcK6,"San Francisco, CA",,
972951702285553664,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Ohio, USA",,
972951646492942336,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",NOPE,,
972951350106624000,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",New York,,
972951254682030080,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Chicago, Illinois",,
972951205029793793,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Austin, TX",,
972951095549947904,@louisnightx I?m j getting that stupid second guessing shit. Ik you can relate. Where you just get sick of your own? https://t.co/XnJX3fMs1E,"Folsom, CA",,
972950711041445888,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Birmingham, Alabama",,
972950537141456896,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",My location is the pragmatic middle.,,
972950440454139904,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972950423891009536,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Greenwood, IN",,
972950398959943680,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",United States,,
972950200280014849,RT @4elix: I'm hella sick and mocoso today so I'm declaring these next 11-Hours a ME day. What should I eat? What psychological thrillers y?,Los Angeles/La Jolla,,
972950032432422912,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",Earth,,
972949500267347973,"If anyone listed on the Ministry of the Sick (see Church Bulletin) would like to receive Holy Communion at home, pl? https://t.co/yKuFK1RCEJ","Oakland,California, USA",,
972949490939375617,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",NYC,,
972949469137383424,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972949376451600384,"@katwarner3 @WooooRicFlair @RadioFreeTom As has been said before: ?I?m very sick of people earning $2,500/minute te? https://t.co/GNYNZIB4lG","Guerneville, CA",,
972949063686656000,RT @call_me_boston: This is sick https://t.co/ivFwocTqmA,"Houston, TX",,
972949022926409728,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",,,
972948941896601600,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",United States,,
972948864608227328,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz",NYC,,
972948786447138817,"@dcunited That's a sick, intelligent assist.",San Francisco,,
972948460902076416,Still frickin sick! https://t.co/miym18bpgz,"San Francisco, CA",,
972948048895672320,"RT @remedyriot: hmu to purchase video content or used panties/stockings. im too sick to cam today, but i can't afford to not work. @TgirlPr?",,,
972947946462371840,"RT @McFaul: This is sick.  Remember, Kiselev works for Putin. https://t.co/tdCDBABhAz","Santa Barbara, CA",,
