tw_id,text,location,long,lat
972964837734080513,@PrisonPlanet This is why they'll have to pry the guns from Americans' cold dead hands.,"Alameda, CA",,
972964249608773632,RT @GholstonakiK: Cold Blooded ? https://t.co/jV9ubXb4IL,,,
972963676381564928,"this SF weather don?t know how to act, first you wanna b cold and foggy now you wanna b bright and hot??","San Francisco, CA",,
972963240660451329,Arrest made in cold case murder of Massachusetts teen more than three decades ago https://t.co/d3C3oKx5Pw #FoxNews,"Salinas, California",,
972963233299546112,She tryna cuddle but she shivers cause I'm cold,"Sunnyvale, CA",,
972963169101639681,"@AlmightyNox Don't you have an elsewhere to be? Like always?

[I jerked away from him, my expression cold.]","Berkeley, CA",,
972962440664170496,@Orthotottie @JustToSpiteYou @bjcreigh @Distracted66 @SteveEvert1 @elynnhardi @Marion_aruaL @auntymimi69? https://t.co/PW2Jyrn5TF,"Berkeley, CA",,
972962282505494528,Nice slow roll along the creek to rid of my cold! #springahead2018 @? https://t.co/PxoZGLPo7G,,-121.983,37.5429
972962244517507073,RT @PapimaloG28: Foggy and cold for Sunday funday #thong #manthong #bulge #bulgethong https://t.co/N18hG38vo0,,,
972961027229995008,"With my tastebuds recovered from a cold, I fully experience the terrific balance of tart and tropical flavors. Up a? https://t.co/4qv7qljyOw","Berkeley, CA",-122.291,37.8579
972960944274984962,"RT @kingced415: @Bdell1014 Cold part is half the time they ain't a ""real nigga""","Charlotte, NC",,
972960652699537410,@beahst Nah wtf I won ? I?m just saying because my hands are cold,"San Francisco, CA",,
972959906234957825,My mom had a blue Pontiac Firebird in the 70?s.  I remember laying on the floor next to the heater vent on the pass? https://t.co/Y2gYy39Jne,"San Francisco, CA",,
972959486489997312,RT @GmanTakeOver10: He a Cold Nigga ??? https://t.co/CuzMQKu3M2,,,
972959447357075456,"@Bdell1014 Cold part is half the time they ain't a ""real nigga""","San Francisco, CA",,
972958811559358471,so warm outside where i am for once  my house  being  cold  is useful,"San Jose, CA",,
972958261451345920,"@WitchMisplaced @NaturesParamour ?Yeah, a group text is what gets you in trouble with those who are close to you,?? https://t.co/ccOrKCY1Ty","San Francisco, CA",,
972957730993405953,RT @GmanTakeOver10: He a Cold Nigga ??? https://t.co/CuzMQKu3M2,"Sacramento, CA",,
972957101910732802,"Interesting article on water! #Water #HealthyLiving 
It actually matters what temperature your water is.? https://t.co/pckXw3mThB","Berkeley, CA",,
972957081299857409,"@BleacherReport Another game we should have one. But we are 1 dimensional down the stretch without Steph, and Klay? https://t.co/s1mgHmYj1C","Berkeley, CA",,
972956977918722048,Sitting in the sunlight drinking a cold one ??,"Tuolumne, CA",,
972955682247933957,The air was so cold in northern Norway that you could see steam rising off the sea. (Which itself was barely above? https://t.co/wftA0T6dNB,"Mountain View, CA",,
972954512829788160,I just wanna say black panther is STILL selling out at movie theaters and that's AMAZING,"San Francisco, CA",,
972954142057598982,"Delicious choices....  spicy, cold noodles and bbq beef ? eating Korean food at Su-Dam Korean Cuisine https://t.co/08876B5BRb","Los Altos, CA",,
972954080732680193,Pretending you know answers you don't and 9 other ways to ruin a cold call https://t.co/ej1qTiquGg #Sales,"Sacramento, CA",,
972953810283913217,I?m so cold,"Salinas, CA",,
972953123810676737,RT @PapimaloG28: Foggy and cold for Sunday funday #thong #manthong #bulge #bulgethong https://t.co/N18hG38vo0,,,
972953053929275392,RT @PapimaloG28: Foggy and cold for Sunday funday #thong #manthong #bulge #bulgethong https://t.co/N18hG38vo0,,,
972952624063332352,Cold?,"San Francisco, CA",,
972952252922122240,The beautiful Lock 60 Recreation Area in Phoenixville. #parkrangerlife #schuylkillriver #SRT #supporttrails? https://t.co/M660OEn2ek,Somewhere you are not...  ,,
972952163805622272,I just want a cold beer and some nachos!!! Lagunitas where you at,Napa Valley ,,
972952048416178176,"@Emma4Change You can have my tiger when you pry him from my cold, dead hands!","Oakland, CA",,
972951742437576706,RT @FluorescentGrey: interested in checking out a left / anti-imperialist podcast that was fighting back against anti-Russian hysteria in 2?,"New York, USA",,
972951536442728450,Now back to our regularly scheduled program. #parkrangerlife #perkiomentrail #cliffs #cleantrails #supporttrails? https://t.co/BdqipYTOLv,Somewhere you are not...  ,,
972950756184608768,@DaeALLindaMOUTH I left you out in the cold I could at least bring you food you hungry,"Oakland, CA",,
972950463955062795,"For Cold Weather Bass, Try This Two-Lure Approach https://t.co/TXSzGIz5HN","Sacramento,California",,
972950162124439552,RT @FluorescentGrey: interested in checking out a left / anti-imperialist podcast that was fighting back against anti-Russian hysteria in 2?,"Washington, DC",,
972949993924345856,The warriors are freezing cold here,"San Francisco, CA",,
972949963494776832,?i just wanna be around good people. i wanna be around people who have been through the cold shit &amp; can still look? https://t.co/jTkfnn89t6,"sacramento, ca",,
972949766253428738,? Tom Verlaine And The Million Dollar Bashers - Cold Irons Bound ? https://t.co/Cc7D0wfICc #nowplaying,"San Francisco, CA",,
972949764630183936,ICE COLD @TigerWoods,"Brentwood, CA",,
972949348840435713,@DeezyisFresh Yeah if it?s not cold like mine was ..,"Elk Grove, CA",,
972948919511539712,why does the Bay consider 59 degrees cold when that?s a nice breeze in Texas,479 // 432 ,,
972948536621871104,I just added this to my closet on Poshmark: Cold shoulder floral wrap dress with pocke. https://t.co/w15ec3Ieeb via? https://t.co/tiPzpqnZzw,"Napa, CA",,
972948195654463489,RT @FluorescentGrey: interested in checking out a left / anti-imperialist podcast that was fighting back against anti-Russian hysteria in 2?,Beyond...,,
972948111579582464,RT @FluorescentGrey: interested in checking out a left / anti-imperialist podcast that was fighting back against anti-Russian hysteria in 2?,Wild West Yorkshire,,
972947746809290753,RT @GmanTakeOver10: He a Cold Nigga ??? https://t.co/CuzMQKu3M2,"Sacramento, CA",,
