tw_id,text,location,long,lat
972960475678846976,*cough*neil patrick harris*cough* https://t.co/N55EQTC5xg,"San Francisco, CA",,
972957153005772801,*cough cough* my lil sister @LulBby_ashh is a nerd for RT herself,"Sacramento, CA",,
972944723387154432,@GoonerBay I wish. I have the flu. And the moist cake will just irritate my throat and make me cough more ?,"San Francisco, CA",,
972943615663267841,RT @drippingc_: *cough cough* https://t.co/RmhoRbINut,United States,,
972941982652809216,@ElkGroveMafia Cough. He?s not wrong. Cough.,"Sacramento, California",,
972924076720144385,@unbearablejon *cough cough*,"Daly City, CA",,
972916020401922054,RT @drippingc_: *cough cough* https://t.co/RmhoRbINut,Luca Brasi ,,
972913450274848768,I've drank so much cough syrup this week I don't even know who I am anymore,"Davis, CA",,
972896133205798912,"@BontaHill Eagles, warriors cough cough",san leandro ,,
972888335055142913,"@InspctorChronic Yeah, cough, I can almost see what you mean, cough. https://t.co/TPjeXeLdtj","California, USA",,
972876202552713216,"@GoAwayGreen In fairness, sometimes it?s both st the same time *cough*Guardians redecoration*cough*",San Francisco California USA,,
972867426567192582,Are you suffering with a cough? Have the flu? Try this and come in for a #chiropractic? https://t.co/oJLiYWDE99,"Fremont, CA",-121.97865,37.55838
972851500211998720,RT @drippingc_: *cough cough* https://t.co/RmhoRbINut,,,
972851423082840066,RT @drippingc_: *cough cough* https://t.co/RmhoRbINut,,,
972847951998406658,*cough cough* https://t.co/RmhoRbINut,"Sacramento, CA",,
972846013374373888,This damn cough hasn?t let me sleep!,"Gilroy, CA",,
972838124786147328,?family room? a Vive VR headset with built in surround sound throughout the house for that 360 visual/audio experie? https://t.co/3xOBsqojGL,"Sacramento, CA",,
972828030581211137,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,313,,
972808192953495552,Y?all this cough got me dying,"Atwater, CA",,
972792651689816064,RT @HotHouseXXX: Turn &amp; cough! RN's @SeanMaygers &amp; @JoshConnersXXX lock the door and fuck hard between patients in 'Private Practice' SAVE?,,,
972781678337736704,That?s an awful lot of cough syrup,east side,,
972739965099458560,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Staying cool in AZ ,,
972732121553846272,@CrystalCMendez More like a year ago *cough cough*,east san jose ,,
972725266140168192,"*cough**cough* ""a few gold bars"" *cough*","San Francisco, CA",,
972722156927774721,"Whatever I eat, I still manage to cough. Wtg","San Jose, CA",,
972719646410391552,@rands @zackangelo Can?t tell if this real or the codeine cough syrup I took for my cold ???,"San Francisco, CA",,
972711058535165952,did my dog just fart and cough at the same time?,oakland & ethiopia,,
972695758410428416,@msgv04_ cough cough ?????,,,
972688944419586048,"me: my cough is getting better finally 
my cold symptoms, migrating: https://t.co/MnNv6F7ejz","Mountain View, CA",,
972681456068644866,@Taino626Rivera @JudicialWatch I think you're confused. I didn't criticize your grammar. But I do think it's odd th? https://t.co/BrXqvgCxSd,The Beautiful Napa Valley,,
972678903608291328,@MyGolfSpy *cough* Cleveland *cough*,"Ripon, CA",,
972675408989601792,You do cough cough @ me I love you ????????I always got this on lockdown https://t.co/bZutS0mWHz,"Sacramento, CA",,
972669093126918144,@DataErase i knowwwww it sure is a good comic tho cough cough cough,"Oakland, CA",,
972652427597008896,this cough got me fucked up. feel like ima cough up a lung before the night is over! ?????,somewhere you're not !,,
972649511452475393,RT @felicityluvvvv: cough my ex's lol https://t.co/QYJO5alKER,"Citrus Heights, CA",,
972644282690662400,"@AWiccanWonder #LIKEACHARM 

[There are no fires when I return to the restaurant and aside from the broken light I? https://t.co/nniIYC5o4J","San Francisco, CA",,
972643868633063425,"RT @VioletQueenling: ?On the plus side, I?ve got a new character I think people are going to love.?

But that?s just a theory,
A GAME THEOR?",,,
972637312654835712,@ZachAJacobson Cough cough @JermichaelF88,"Turlock, CA",,
972624210932637696,"Tulsa sheriff?s office pay $6 million family unarmed man shot dead 

Which means Tulsa taxpayers cough up $6 millio? https://t.co/646HiSpov0",San Francisco,,
972613557165604864,"My heart&amp;mind says chipotle and nuggets 

But my body says cough syrup and soup ????????","Monterey, CA",,
972608668997795841,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,V-A-Double L-E-J-O,,
972599348537180160,The bag I made this morning went to groceries and cough medicine. Bitch :(,"Sonoma, Ca",,
972592753023401984,This cough needs to go away...sleeping in did help a little.,"Walnut Creek, CA",,
972591765931704320,"I cough every time I cheer. It?s apparently MY spring training, too.","Folsom, CA",,
972591514152067072,@Mali_Games @Friskkmkay *cough* she?s an amazing friend and makes everybody feel welcome.,"San Francisco, CA",,
972569294897692672,"@jmpm3 An eye for an eye makes the world blind. Amazon should carry Nest. Considering all the other shit (cough, ra? https://t.co/zG07mGSCvL","San Francisco, CA",,
972565383294025728,@SoleTooNasty @_itsyaillin_ @andreaapinaa @josh_schwanker I am she wanna act new aos cough cough ??but that?s nun of my business,"Stockton, CA",,
972540936302546944,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Around.,,
972538813800177664,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Dantoine Crawfish Shack,,
972522661371813888,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,San Francisco ,,
972508582213189637,"RT @VioletQueenling: ?On the plus side, I?ve got a new character I think people are going to love.?

But that?s just a theory,
A GAME THEOR?",,,
972508472238624768,"RT @VioletQueenling: ?On the plus side, I?ve got a new character I think people are going to love.?

But that?s just a theory,
A GAME THEOR?",The 7th Layer Of Hell,,
972508412738187265,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"New Orleans, LA",,
972504964214882305,*cough* satan *cough* https://t.co/WDja3sMBxO,"Oakland, CA",,
972498633169006592,"@OpieRadio @ASMRVideosOnYT damn, that is a lot of views *cough*","Fremont, CA",,
972482580623777793,@rrhoover ...hey morning Ryan...cough you've got mail :),San Francisco,,
972479833979736064,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Out VA somewhere,,
972474468051374080,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Austin, TX",,
972474253273653251,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,,,
972474115692089344,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,ATX,,
972473109805699073,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Unreachable ,,
972459047856287751,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Where ever the wind blows...,,
972435000246374405,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Crossing Timezones,,
972431569926393857,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,The Dirty 3Thirty,,
972407056958332928,My cough is getting me really fucking pissed off,"Delhi, CA",,
972389273587478528,"I was so sick last night that I fell asleep with a cough drop in my mouth. Surprise, i didn't choke.","Fairfield, CA",,
972370796575272960,cough my ex's lol https://t.co/QYJO5alKER,"Sacramento, CA",,
972369912843837440,When a teacher **cough**math**cough** adds billions and billions of points to the gradebook and your grades don?t c? https://t.co/fR7ESBcwmv,"Daly City, CA",,
972357103124918272,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Joliet, IL",,
972354558943899649,@babbyrach *cough *cough *hint *hint https://t.co/EhCysh4x7W,"Yuba City, CA",,
972348257052618754,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Wakanda,,
972344144285917184,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Anywhere but here ,,
972342415464964096,drinking cough syrup with no cough !!,San Jose ,,
972342028058136576,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,lilboosieana,,
972336961926107136,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,,,
972336626041995264,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"San Francisco, CA",,
972336328120598529,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Louisville. 502. Looeyville. ,,
972335209457836032,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Queensville,Jupiter",,
972334875847077893,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,DC & NC,,
972334798080528384,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,On your mama face,,
972334638520852480,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Washington, DC",,
972334332852531200,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,At work ,,
972334271749910528,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Al Gore's Internet,,
972333602552860673,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Washington, DC",,
972333537197162497,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Bugatti Spaceship,,
972328729530728450,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Smelly Onion,,
972327901650735105,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,,,
972324370260504576,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,Manila,,
972321299405172736,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Washington, DC",,
972319045956636674,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Charlotte, NC",,
972317860163870720,So some haters *cough**cough* @Percyfan1998Mv *cough* have been trying to deny that I am the most evil being in the? https://t.co/fVSKce2v4s,"San Francisco, CA",,
972316635238367232,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,,,
972316071276482560,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Charlotte, NC",,
972315941139828737,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"Dallas, TX",,
972314844425834496,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,,,
972314445677506560,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,SE DC,,
972313961889542145,When the cough medicine kicks in https://t.co/XvfBUQzzYr,"Manteca, CA",,
972313841047498752,RT @MF_DAD: Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,#DelAmo,,
972313547383365633,Me when your kids open mouth cough in public settings. https://t.co/hmEAImarML,"San Jose, California",,
