tw_id,text,location,long,lat
972827639395229696,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?","Sydney, Australia",,
972824892537106432,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",RADelaide,,
972823416695816193,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?", GA,,
972814813377253387,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","rural Wisconsin, USA",,
972812433113919489,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",,,
972796993239224322,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",Ukraine           ,,
972795157224607744,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?","Greenwich, London",,
972794929616445440,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","859 Rt 25 Wentworth, NH USA",,
972794329726177280,"Authorities are warning users not to fall for a legitimate-sounding scam that starts out with a ""virus"" on your com? https://t.co/mPgGFSsnU7","San Jose, CA",,
972774372145418240,RT @aao_ophth: A promising new Zika virus vaccine has advanced to phase 2 testing https://t.co/spEJ9lhJDP,"San Francisco, CA",,
972767894194016256,"@AskAnshul This peaceful religion is a virus 
How can a religion spread so much hatred they should be wiped out to save the mankind","San Francisco, CA",,
972767450487025666,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972756072795533314,"RT @justinsuntron: #TRON Test Net Launch Countdown: 20 days, 483 hours, 29,000 minutes, 1,740,000 seconds. #TRON #TRX $TRX","California, USA",,
972731838153211904,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",,,
972724916574339072,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",The Shire,,
972717861683781633,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",Connecticut,,
972703812443045890,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",United States,,
972698957464854529,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",Richmond B.C.,,
972697173530959873,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",At My Keyboard,,
972697077598818304,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",East Of the Missippi / USA ,,
972696646080516096,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",Florida ,,
972694344800055299,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",COMPANY OF CANADA,,
972694243839004672,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",,,
972693846852358144,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","Atlanta, GA",,
972693751255699456,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",Usa,,
972693588277686273,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","New York, NY",,
972693133430611968,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",Usa,,
972692558995476485,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",,,
972692469648363522,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",United States,,
972692321274703872,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","Sacramento,  CA",,
972692061597175809,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",Stamford CT,,
972691994949505024,RT @NaduMadawala: @EXOL_BD @weareoneEXO Happy virus #EXOL #iHeartAwards #BestFanArmy @weareoneEXO,,,
972691854939471872,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",,,
972691750623023104,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?",Trantor w/ Arthur C. Clark,,
972691642011467777,"""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola viru? https://t.co/U219whQ6rn","Berkeley, CA",,
972691345717395456,"CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola an? https://t.co/AMGrgplWlp","Berkeley, CA",,
972687368531607552,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972678022582210560,@_drgo @AaronvanW @rogerkver @gavinandresen And it doesn?t work. Imagine you have 10 viruses in a host. Your first? https://t.co/qd1YVFWsyz,"San Jose, CA",,
972675751358226435,"Latest #iTunes #GiftCards #scam involves ""virus warning"" on iPhones and iPads and instructs you to call ""Apple Supp? https://t.co/lqCRVPW5PB",San Francisco,,
972669546275356672,@keithbdixon Love to start a discussion with you about the future of a wedding photography. At the moment I feel th? https://t.co/UYguHxijHp,San Francisco California,,
972667939353759744,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",Earth (Awaiting mothership),,
